id,question_en,question_ru,answer_en,answer_ru,tags,sources,safety_level,question_en_clean,question_ru_clean,combined_question
13,How long does dengue fever last?,Dengue ka bukhar kitne din rehta hai?,The fever phase typically lasts 2–7 days.,Bukhar aam tor par 2–7 din rehta hai.,fever;timeline,WHO,general,how long does dengue fever last,dengue ka bukhar kitne din rehta hai,how long does dengue fever last dengue ka bukhar kitne din rehta hai
14,Can dengue fever return after going down?,Kya bukhar kam hone ke baad wapas aa sakta hai?,"It usually does not return once resolved, but the critical phase begins as fever drops.","Bukhar kam hone ke baad aam tor par wapas nahi aata, magar critical phase us waqt shuru hota hai.",fever;critical_phase,WHO,urgent-care,can dengue fever return after going down,kya bukhar kam hone ke baad wapas aa sakta hai,can dengue fever return after going down kya bukhar kam hone ke baad wapas aa sakta hai
15,What is the critical phase in dengue?,Dengue me critical phase kya hoti hai?,The 24–48 hours after fever decreases when plasma leakage and warning signs may appear.,Bukhar girne ke 24–48 ghante critical phase hote hain jisme leakage aur khatwarning alamat samne aa sakti hain.,critical_phase,WHO,urgent-care,what is the critical phase in dengue,dengue me critical phase kya hoti hai,what is the critical phase in dengue dengue me critical phase kya hoti hai
16,Why does the fever fall suddenly in dengue?,Dengue me bukhar achanak kyu girta hai?,This is part of the illness cycle; the drop signals the start of the critical phase.,Ye dengue ke cycle ka hissa hai; bukhar girna critical phase ka aaghaz hota hai.,fever;critical_phase,Clinical,urgent-care,why does the fever fall suddenly in dengue,dengue me bukhar achanak kyu girta hai,why does the fever fall suddenly in dengue dengue me bukhar achanak kyu girta hai
17,Do children show the same symptoms as adults?,Bachon me bhi yahi alamat hoti hain?,"Yes, but children may worsen faster and require closer monitoring.","Haan, lekin bachon ki halat tez bigar sakti hai is liye zyada nigrani chahiye.",pediatrics;symptoms,WHO,urgent-care,do children show the same symptoms as adults,bachon me bhi yahi alamat hoti hain,do children show the same symptoms as adults bachon me bhi yahi alamat hoti hain
18,Can dengue cause extreme fatigue?,Kya dengue se had se zyada thakan hoti hai?,"Yes, severe fatigue is common during and after dengue.","Haan, shadeed thakan bimari ke duran aur baad me aam hoti hai.",symptoms;fatigue,WHO,general,can dengue cause extreme fatigue,kya dengue se had se zyada thakan hoti hai,can dengue cause extreme fatigue kya dengue se had se zyada thakan hoti hai
19,Does dengue cause dizziness?,Kya dengue me chakkar aate hain?,Mild dizziness can occur due to dehydration or fever. Severe dizziness must be evaluated.,Halka chakkar pani ki kami ya bukhar se ho sakta hai. Shadeed chakkar ka muaina zaroori hai.,symptoms;hydration,Clinical,urgent-care,does dengue cause dizziness,kya dengue me chakkar aate hain,does dengue cause dizziness kya dengue me chakkar aate hain
20,Can dehydration happen in dengue?,Kya dengue me pani ki kami ho sakti hai?,"Yes, due to fever, vomiting, and reduced intake. Hydration is essential.","Haan, bukhar, ulti aur kam pani pene ki wajah se pani ki kami hosakti hai. Hydration zaroori hai.",hydration;symptoms,WHO,general,can dehydration happen in dengue,kya dengue me pani ki kami ho sakti hai,can dehydration happen in dengue kya dengue me pani ki kami ho sakti hai
21,Why is hydration important in dengue?,Dengue me pani pina itna zaroori kyu hai?,"Fluids help prevent shock, maintain circulation, and reduce complications.","Maye shock se bachate hain, khoon ki rawani behtar karte hain aur complications kam karte hain.",hydration,WHO,general,why is hydration important in dengue,dengue me pani pina itna zaroori kyu hai,why is hydration important in dengue dengue me pani pina itna zaroori kyu hai
22,Is loss of appetite normal?,Kya dengue me bhook kam lagna aam hai?,"Yes, appetite often decreases. Small, frequent meals are recommended.","Haan, bhook aksar kam hoti hai. Choti choti matra me khana behtar hai.",symptoms;nutrition,WHO,general,is loss of appetite normal,kya dengue me bhook kam lagna aam hai,is loss of appetite normal kya dengue me bhook kam lagna aam hai
23,Does dengue cause body aches?,Kya dengue me jism dard hota hai?,"Yes, intense body aches are one of the hallmark features.","Haan, shadeed jism dard dengue ki khas alamat me se hai.",symptoms;body_pain,WHO,general,does dengue cause body aches,kya dengue me jism dard hota hai,does dengue cause body aches kya dengue me jism dard hota hai
24,Can dengue cause chills?,Kya dengue me kapkapi hoti hai?,"Yes, chills may accompany the initial fever.","Haan, shuruati bukhar ke sath kapkapi hosakti hai.",symptoms;fever,WHO,general,can dengue cause chills,kya dengue me kapkapi hoti hai,can dengue cause chills kya dengue me kapkapi hoti hai
25,Do all dengue patients have rash?,Kya har dengue mareez me rash hota hai?,"No, the rash is common but not seen in all cases.","Nahi, rash aam hai lekin sab me nahi hota.",symptoms;skin,WHO,general,do all dengue patients have rash,kya har dengue mareez me rash hota hai,do all dengue patients have rash kya har dengue mareez me rash hota hai
26,Are red spots on skin a sign of dengue?,Kya jild par laal nishaan dengue ki alamat hain?,"They can be, especially if accompanied by fever and body pain.","Hosakte hain, khas tor par agar bukhar aur jism dard bhi ho.",symptoms;skin,Clinical,general,are red spots on skin a sign of dengue,kya jild par laal nishaan dengue ki alamat hain,are red spots on skin a sign of dengue kya jild par laal nishaan dengue ki alamat hain
27,Why do some people not show symptoms?,Kuch logon me alamat kyu nahi hoti?,"Some infections are mild or asymptomatic, depending on immunity.",Kuch logon me immune nizaam ki wajah se alamat bohat halki ya gayab hoti hain.,immunity;symptoms,WHO,general,why do some people not show symptoms,kuch logon me alamat kyu nahi hoti,why do some people not show symptoms kuch logon me alamat kyu nahi hoti
28,Can dengue cause sore throat?,Kya dengue me gala dard hota hai?,It is not typical but may occur in some patients.,Aksar nahi hota lekin kuch mareezon me hosakta hai.,symptoms;throat,Clinical,general,can dengue cause sore throat,kya dengue me gala dard hota hai,can dengue cause sore throat kya dengue me gala dard hota hai
29,Does dengue cause cough?,Kya dengue me khansi hoti hai?,"Cough is not a main symptom; if present, evaluate for co-infection.",Khansi dengue ki khas alamat nahi. Agar ho to co-infection check karein.,symptoms,WHO,general,does dengue cause cough,kya dengue me khansi hoti hai,does dengue cause cough kya dengue me khansi hoti hai
30,Can dengue cause mild rashes?,Kya dengue me halkay rash ho sakte hain?,"Yes, rash may be faint or mild in early stages.","Haan, shuru me rash bohat halka hosakta hai.",symptoms;skin,Clinical,general,can dengue cause mild rashes,kya dengue me halkay rash ho sakte hain,can dengue cause mild rashes kya dengue me halkay rash ho sakte hain
31,Is vomiting a warning sign?,Kya ulti khatwarning alamat hai?,Persistent vomiting is a warning sign and requires urgent care.,Bar bar ulti khatwarning alamat hai aur foran tawajjo chahiye.,warning_signs,WHO,urgent-care,is vomiting a warning sign,kya ulti khatwarning alamat hai,is vomiting a warning sign kya ulti khatwarning alamat hai
32,Is bleeding a symptom of dengue?,Kya dengue me khoon aata hai?,"Mild bleeding may occur, but significant bleeding is a warning sign.",Halka khoon aasakta hai magar zyada bleeding khatwarning alamat hai.,warning_signs;bleeding,WHO,urgent-care,is bleeding a symptom of dengue,kya dengue me khoon aata hai,is bleeding a symptom of dengue kya dengue me khoon aata hai
33,Can dengue cause gum bleeding?,Kya dengue me masoodon se khoon aasakta hai?,"Yes, gum bleeding is a warning sign and needs medical evaluation.","Haan, masoodon se khoon aana khatwarning alamat hai aur muaina zaroori hai.",warning_signs;bleeding,WHO,urgent-care,can dengue cause gum bleeding,kya dengue me masoodon se khoon aasakta hai,can dengue cause gum bleeding kya dengue me masoodon se khoon aasakta hai
34,Is nosebleed common in dengue?,Kya naak se khoon aam hai?,It can happen in severe or warning-phase dengue.,Ye shadeed dengue ya warning phase me hosakta hai.,warning_signs;bleeding,WHO,urgent-care,is nosebleed common in dengue,kya naak se khoon aam hai,is nosebleed common in dengue kya naak se khoon aam hai
35,Does dengue cause dark stools?,Kya dengue me siyah paikhana hota hai?,Black or tarry stool suggests internal bleeding—seek urgent care.,Siyah paikhana andarooni bleeding ki nishani hai—foran tawajjo chahiye.,warning_signs;bleeding,WHO,emergency,does dengue cause dark stools,kya dengue me siyah paikhana hota hai,does dengue cause dark stools kya dengue me siyah paikhana hota hai
36,Can dengue affect breathing?,Kya dengue saans par asar karta hai?,Rapid or difficult breathing is a serious warning sign.,Tez ya mushkil saans lena bohat khatarnak alamat hai.,warning_signs;respiratory,WHO,emergency,can dengue affect breathing,kya dengue saans par asar karta hai,can dengue affect breathing kya dengue saans par asar karta hai
37,Is restlessness a warning sign?,Kya bechaini khatwarning alamat hai?,"Yes, restlessness or irritability suggests poor circulation and requires urgent care.","Haan, bechaini ya chirchira-pan rawani ka masla dikhata hai aur foran tawajjo chahiye.",warning_signs,WHO,urgent-care,is restlessness a warning sign,kya bechaini khatwarning alamat hai,is restlessness a warning sign kya bechaini khatwarning alamat hai
38,What is dengue shock?,Dengue shock kya hota hai?,A dangerous condition with very low blood pressure due to plasma leakage. It is a medical emergency.,Bohat khatarnak halat jisme khoon ka pressure bohat kam ho jata hai plasma leakage ki wajah se. Ye emergency hai.,severe_dengue,WHO,emergency,what is dengue shock,dengue shock kya hota hai,what is dengue shock dengue shock kya hota hai
39,Why do platelets fall in dengue?,Platelets dengue me kyu kam hotay hain?,The virus affects bone marrow and increases destruction of platelets.,Virus bone marrow aur platelets ki tabahi dono ko mutasir karta hai.,platelets;lab,WHO,general,why do platelets fall in dengue,platelets dengue me kyu kam hotay hain,why do platelets fall in dengue platelets dengue me kyu kam hotay hain
40,Does low platelet count always mean danger?,Kya kam platelets hamesha khatarnak hotay hain?,Not always. Trends and warning signs matter more than one number.,Hamesha nahi. Platelets ka rawayya aur alamat zyada aham hain.,platelets,WHO,general,does low platelet count always mean danger,kya kam platelets hamesha khatarnak hotay hain,does low platelet count always mean danger kya kam platelets hamesha khatarnak hotay hain
41,When do platelets start dropping?,Platelets kab girna shuru hotay hain?,Usually around days 3–7 as fever declines.,Aksar din 3–7 me jab bukhar girta hai.,platelets;timeline,WHO,general,when do platelets start dropping,platelets kab girna shuru hotay hain,when do platelets start dropping platelets kab girna shuru hotay hain
42,Can dengue cause high heart rate?,Kya dengue me dil ki dharkan tez hoti hai?,"Yes, fever and dehydration can cause increased heart rate.","Haan, bukhar aur pani ki kami se dharkan tez hosakti hai.",symptoms;cardio,Clinical,general,can dengue cause high heart rate,kya dengue me dil ki dharkan tez hoti hai,can dengue cause high heart rate kya dengue me dil ki dharkan tez hoti hai
43,Can dengue cause low blood pressure?,Kya dengue me blood pressure kam hota hai?,Low BP may indicate plasma leakage and needs urgent care.,Kam BP plasma leakage ki nishani hosakta hai—urgent care zaroori hai.,warning_signs;bp,WHO,urgent-care,can dengue cause low blood pressure,kya dengue me blood pressure kam hota hai,can dengue cause low blood pressure kya dengue me blood pressure kam hota hai
44,Is weakness normal in dengue?,Kya dengue me kamzori aam hai?,"Yes, weakness is very common due to fever and inflammation.","Haan, kamzori bukhar aur soozish ki wajah se bohot aam hai.",symptoms;fatigue,WHO,general,is weakness normal in dengue,kya dengue me kamzori aam hai,is weakness normal in dengue kya dengue me kamzori aam hai
45,How does dengue affect appetite?,Dengue bhook par kaisa asar karta hai?,Loss of appetite is common because the body is fighting infection.,Bhook kam lagna aam hai kyun ke jism infection se lad raha hota hai.,symptoms;nutrition,Clinical,general,how does dengue affect appetite,dengue bhook par kaisa asar karta hai,how does dengue affect appetite dengue bhook par kaisa asar karta hai
46,Can dengue cause muscle cramps?,Kya dengue me pathon me jhatkay hotay hain?,"Yes, muscle inflammation may cause cramps or stiffness.","Haan, pathon ki soozish se cramps ya sakhti hosakti hai.",symptoms;muscle,Clinical,general,can dengue cause muscle cramps,kya dengue me pathon me jhatkay hotay hain,can dengue cause muscle cramps kya dengue me pathon me jhatkay hotay hain
47,Does dengue cause eye redness?,Kya dengue me aankhen laal hoti hain?,Some patients develop mild redness due to inflammation.,Kuch mareezon me soozish ki wajah se halki laalmi hosakti hai.,symptoms;eye,Clinical,general,does dengue cause eye redness,kya dengue me aankhen laal hoti hain,does dengue cause eye redness kya dengue me aankhen laal hoti hain
48,Can dengue cause swollen glands?,Kya dengue me gardan ke gland soojte hain?,Mild lymph node swelling may occur.,Halka gland soojna hosakta hai.,symptoms;lymph_nodes,Clinical,general,can dengue cause swollen glands,kya dengue me gardan ke gland soojte hain,can dengue cause swollen glands kya dengue me gardan ke gland soojte hain
49,Does dengue cause dry mouth?,Kya dengue me munh khushk hota hai?,"Yes, dehydration from fever can cause dry mouth.","Haan, bukhar se pani ki kami munh khushk karti hai.",hydration,WHO,general,does dengue cause dry mouth,kya dengue me munh khushk hota hai,does dengue cause dry mouth kya dengue me munh khushk hota hai
50,Is itching normal in dengue?,Kya dengue me kharish aam hai?,"Some patients experience itching, especially with rash.",Kuch mareez rash ke sath kharish mehsoos karte hain.,symptoms;skin,Clinical,general,is itching normal in dengue,kya dengue me kharish aam hai,is itching normal in dengue kya dengue me kharish aam hai
51,Can dengue cause mild swelling?,Kya dengue me halka soojan hota hai?,"Usually no, but fluid leakage in severe cases can cause swelling.","Aksar nahi, magar shadeed cases me leakage se soojan hosakti hai.",severe_dengue;leakage,WHO,urgent-care,can dengue cause mild swelling,kya dengue me halka soojan hota hai,can dengue cause mild swelling kya dengue me halka soojan hota hai
52,Does dengue cause leg pain?,Kya dengue me taangon me dard hota hai?,"Yes, muscle inflammation can make leg pain common.","Haan, pathon ki soozish se taang dard aam hai.",symptoms;muscle,WHO,general,does dengue cause leg pain,kya dengue me taangon me dard hota hai,does dengue cause leg pain kya dengue me taangon me dard hota hai
53,Can dengue cause chest discomfort?,Kya dengue me seene me takleef hoti hai?,"General body aches may cause discomfort, but sharp chest pain must be evaluated.","Aam jism dard se halqi takleef hosakti hai, magar tez seene ka dard check karwana chahiye.",symptoms;cardio,Clinical,urgent-care,can dengue cause chest discomfort,kya dengue me seene me takleef hoti hai,can dengue cause chest discomfort kya dengue me seene me takleef hoti hai
54,Does dengue cause sweating?,Kya dengue me paseena aata hai?,"Yes, sweating may occur with fever spikes.","Haan, bukhar barhne par paseena aasakta hai.",symptoms;fever,WHO,general,does dengue cause sweating,kya dengue me paseena aata hai,does dengue cause sweating kya dengue me paseena aata hai
55,Can dengue cause swollen eyes?,Kya dengue me aankhen sooj jati hain?,"Mild swelling may happen from fluid shifts, but significant swelling must be evaluated.","Halki soojan ho sakti hai, lekin zyada soojan ka muaina zaroori hai.",symptoms;eye,Clinical,urgent-care,can dengue cause swollen eyes,kya dengue me aankhen sooj jati hain,can dengue cause swollen eyes kya dengue me aankhen sooj jati hain
56,Does dengue cause shivering?,Kya dengue me larzish hoti hai?,"Yes, chills and shivering can accompany early fever.","Haan, shuru me kapkapi aur larzish hosakti hai.",symptoms;fever,WHO,general,does dengue cause shivering,kya dengue me larzish hoti hai,does dengue cause shivering kya dengue me larzish hoti hai
57,Can dengue cause red eyes?,Kya dengue me aankhen surkh hoti hain?,Some patients show eye redness from inflammation.,Kuch mareez soozish ki wajah se aankhon me surkhi mehsoos karte hain.,symptoms;eye,Clinical,general,can dengue cause red eyes,kya dengue me aankhen surkh hoti hain,can dengue cause red eyes kya dengue me aankhen surkh hoti hain
58,Why do dengue patients feel extreme tiredness?,Dengue me had se zyada thakan kyu hoti hai?,The immune system uses a lot of energy to fight the virus.,Immune nizaam zyada energy istemal karta hai jis se thakan hoti hai.,fatigue,WHO,general,why do dengue patients feel extreme tiredness,dengue me had se zyada thakan kyu hoti hai,why do dengue patients feel extreme tiredness dengue me had se zyada thakan kyu hoti hai
59,Can dengue cause insomnia?,Kya dengue me neend nahi aati?,"Pain, discomfort, and fever can disturb sleep.","Dard, takleef aur bukhar neend ko mukhtalif taur par asar karte hain.",symptoms;sleep,Clinical,general,can dengue cause insomnia,kya dengue me neend nahi aati,can dengue cause insomnia kya dengue me neend nahi aati
60,Does dengue cause anxiety?,Kya dengue me bechaini hoti hai?,Some patients feel anxious due to illness stress or dehydration.,Kuch mareez bemari ke pressure aur pani ki kami ki wajah se bechain mehsoos karte hain.,symptoms;mental_state,Clinical,general,does dengue cause anxiety,kya dengue me bechaini hoti hai,does dengue cause anxiety kya dengue me bechaini hoti hai
61,Can dengue cause swollen hands?,Kya dengue me haath sooj jate hain?,Not typical in mild dengue; swelling suggests leakage in more severe cases.,Halka dengue me aam nahi; soojan ziyada tor par leakage ki nishani hoti hai.,severe_dengue,WHO,urgent-care,can dengue cause swollen hands,kya dengue me haath sooj jate hain,can dengue cause swollen hands kya dengue me haath sooj jate hain
62,Why does dengue cause high fever?,Dengue me bukhar itna tez kyu hota hai?,The body raises temperature to fight the virus.,Jism virus se larnay ke liye temperature barhata hai.,fever,Clinical,general,why does dengue cause high fever,dengue me bukhar itna tez kyu hota hai,why does dengue cause high fever dengue me bukhar itna tez kyu hota hai
63,Does dengue cause burning eyes?,Kya dengue me aankhon me jalan hoti hai?,Some patients may feel eye burning due to inflammation and fever.,Kuch log soozish aur bukhar ki wajah se aankhon me jalan mehsoos karte hain.,symptoms;eye,Clinical,general,does dengue cause burning eyes,kya dengue me aankhon me jalan hoti hai,does dengue cause burning eyes kya dengue me aankhon me jalan hoti hai
64,Can dengue cause swollen feet?,Kya dengue me paon sooj jate hain?,"Not common in mild dengue; if present, evaluate for fluid leakage.",Aksar nahi hota; agar ho to leakage ka andaza lagaya jaye.,severe_dengue,WHO,urgent-care,can dengue cause swollen feet,kya dengue me paon sooj jate hain,can dengue cause swollen feet kya dengue me paon sooj jate hain
65,Does dengue cause tingling sensations?,Kya dengue me jism me jalan ya tingling hoti hai?,Rare but can occur due to inflammation or dehydration.,Kam hota hai magar soozish ya pani ki kami ki wajah se hosakta hai.,symptoms;neuro,Clinical,general,does dengue cause tingling sensations,kya dengue me jism me jalan ya tingling hoti hai,does dengue cause tingling sensations kya dengue me jism me jalan ya tingling hoti hai
66,Is loss of smell a dengue symptom?,Kya dengue me smell kam hota hai?,Not typical; investigate for co-infection.,Aam alamat nahi; co-infection check karein.,symptoms,Clinical,general,is loss of smell a dengue symptom,kya dengue me smell kam hota hai,is loss of smell a dengue symptom kya dengue me smell kam hota hai
67,Can dengue cause chills without fever?,Kya dengue me bukhar ke baghair kapkapi hosakti hai?,"Usually chills accompany fever, not occur alone.",Kapkapi aksar bukhar ke sath hoti hai.,symptoms,WHO,general,can dengue cause chills without fever,kya dengue me bukhar ke baghair kapkapi hosakti hai,can dengue cause chills without fever kya dengue me bukhar ke baghair kapkapi hosakti hai
68,Does dengue cause throat dryness?,Kya dengue me gala khushk hota hai?,"Yes, dehydration can cause throat dryness.","Haan, pani ki kami se gala khushk hosakta hai.",hydration,WHO,general,does dengue cause throat dryness,kya dengue me gala khushk hota hai,does dengue cause throat dryness kya dengue me gala khushk hota hai
69,Can dengue cause swollen lips?,Kya dengue me hont sooj jate hain?,Uncommon; evaluate for allergic reaction or complications.,Aam nahi; allergy ya complication ka muaina karein.,symptoms,Clinical,urgent-care,can dengue cause swollen lips,kya dengue me hont sooj jate hain,can dengue cause swollen lips kya dengue me hont sooj jate hain
70,Does dengue cause fever spikes?,Kya dengue me bukhar kabhi kabhi bohat barh jata hai?,"Yes, fever may spike suddenly, especially early in illness.","Haan, shuru me bukhar achanak barh sakta hai.",fever,WHO,general,does dengue cause fever spikes,kya dengue me bukhar kabhi kabhi bohat barh jata hai,does dengue cause fever spikes kya dengue me bukhar kabhi kabhi bohat barh jata hai
71,Does dengue cause cold hands and feet?,Kya dengue me haath paon thanday ho jate hain?,Cold extremities can indicate poor circulation during severe dengue.,Haath paon thanday hona poor circulation ki nishani hosakta hai.,severe_dengue,WHO,emergency,does dengue cause cold hands and feet,kya dengue me haath paon thanday ho jate hain,does dengue cause cold hands and feet kya dengue me haath paon thanday ho jate hain
72,Can dengue cause irritability?,Kya dengue me chirr-chirrapan hota hai?,"Yes, especially in children or dehydrated patients.","Haan, khas tor par bachon aur dehydrated logon me.",pediatrics;symptoms,Clinical,urgent-care,can dengue cause irritability,kya dengue me chirrchirrapan hota hai,can dengue cause irritability kya dengue me chirrchirrapan hota hai
73,Does dengue cause muscle stiffness?,Kya dengue me pathon me sakhti hoti hai?,"Yes, inflammation causes stiffness and soreness.","Haan, soozish sakhti ka sabab banti hai.",symptoms;muscle,Clinical,general,does dengue cause muscle stiffness,kya dengue me pathon me sakhti hoti hai,does dengue cause muscle stiffness kya dengue me pathon me sakhti hoti hai
74,Does dengue cause chest tightness?,Kya dengue me seena tang lagta hai?,Not typical; must evaluate for complications or anxiety.,Aam nahi; complication ya bechaini ka muaina karein.,symptoms,Clinical,urgent-care,does dengue cause chest tightness,kya dengue me seena tang lagta hai,does dengue cause chest tightness kya dengue me seena tang lagta hai
75,Can dengue cause pale skin?,Kya dengue me chehra peela ya feeka lagta hai?,"Yes, dehydration or low circulation may cause paleness.","Haan, pani ki kami ya low circulation se rang feeka hosakta hai.",symptoms;circulation,Clinical,urgent-care,can dengue cause pale skin,kya dengue me chehra peela ya feeka lagta hai,can dengue cause pale skin kya dengue me chehra peela ya feeka lagta hai
76,Can dengue cause chills after fever drops?,Kya bukhar girne ke baad kapkapi hoti hai?,Some may feel chills due to temperature changes and dehydration.,Kuch log temperature ke farq aur pani ki kami se kapkapi mehsoos karte hain.,fever,Clinical,general,can dengue cause chills after fever drops,kya bukhar girne ke baad kapkapi hoti hai,can dengue cause chills after fever drops kya bukhar girne ke baad kapkapi hoti hai
77,Does dengue cause joint stiffness?,Kya dengue me joron me sakhti hoti hai?,"Yes, inflammation can cause stiffness along with pain.","Haan, soozish se sakhti aur dard dono hosaktay hain.",symptoms;joints,WHO,general,does dengue cause joint stiffness,kya dengue me joron me sakhti hoti hai,does dengue cause joint stiffness kya dengue me joron me sakhti hoti hai
78,Can dengue cause mild back stiffness?,Kya dengue me kamar me sakhti hosakti hai?,"Yes, muscle involvement may cause stiffness.","Haan, pathon ki soozish se kamar sakhti hosakti hai.",symptoms;muscle,Clinical,general,can dengue cause mild back stiffness,kya dengue me kamar me sakhti hosakti hai,can dengue cause mild back stiffness kya dengue me kamar me sakhti hosakti hai
79,Does dengue cause chills at night?,Kya dengue me raat ko kapkapi hoti hai?,"Yes, fever fluctuations can cause nighttime chills.","Haan, bukhar ke farq ki wajah se raat me kapkapi hosakti hai.",fever,Clinical,general,does dengue cause chills at night,kya dengue me raat ko kapkapi hoti hai,does dengue cause chills at night kya dengue me raat ko kapkapi hoti hai
80,Does dengue cause leg weakness?,Kya dengue me taang kamzor hoti hai?,"Yes, fatigue and dehydration can cause leg weakness.","Haan, thakan aur dehydration taang kamzor karte hain.",fatigue;hydration,WHO,general,does dengue cause leg weakness,kya dengue me taang kamzor hoti hai,does dengue cause leg weakness kya dengue me taang kamzor hoti hai
81,Can dengue cause rapid pulse?,Kya dengue me nabz tez hoti hai?,"Yes, high fever and dehydration increase heart rate.","Haan, bukhar aur dehydration se nabz tez hosakti hai.",symptoms;cardio,Clinical,general,can dengue cause rapid pulse,kya dengue me nabz tez hoti hai,can dengue cause rapid pulse kya dengue me nabz tez hoti hai
82,Is high fever always present in dengue?,Kya hamesha bohat tez bukhar hota hai?,"Most cases present with high fever, but not all.","Aksar cases me tez bukhar hota hai, magar har case me nahi.",fever,WHO,general,is high fever always present in dengue,kya hamesha bohat tez bukhar hota hai,is high fever always present in dengue kya hamesha bohat tez bukhar hota hai
