id,question_en,question_ru,answer_en,answer_ru,tags,sources,safety_level,primary_tag,merged_label
24,Can dengue cause chills?,Kya dengue me kapkapi hoti hai?,"Yes, chills may accompany the initial fever.","Haan, shuruati bukhar ke sath kapkapi hosakti hai.",symptoms;fever,WHO,general,symptoms,symptoms
25,Do all dengue patients have rash?,Kya har dengue mareez me rash hota hai?,"No, the rash is common but not seen in all cases.","Nahi, rash aam hai lekin sab me nahi hota.",symptoms;skin,WHO,general,symptoms,symptoms
26,Are red spots on skin a sign of dengue?,Kya jild par laal nishaan dengue ki alamat hain?,"They can be, especially if accompanied by fever and body pain.","Hosakte hain, khas tor par agar bukhar aur jism dard bhi ho.",symptoms;skin,Clinical,general,symptoms,symptoms
27,Why do some people not show symptoms?,Kuch logon me alamat kyu nahi hoti?,"Some infections are mild or asymptomatic, depending on immunity.",Kuch logon me immune nizaam ki wajah se alamat bohat halki ya gayab hoti hain.,immunity;symptoms,WHO,general,immunity,immunity
28,Can dengue cause sore throat?,Kya dengue me gala dard hota hai?,It is not typical but may occur in some patients.,Aksar nahi hota lekin kuch mareezon me hosakta hai.,symptoms;throat,Clinical,general,symptoms,symptoms
29,Does dengue cause cough?,Kya dengue me khansi hoti hai?,"Cough is not a main symptom; if present, evaluate for co-infection.",Khansi dengue ki khas alamat nahi. Agar ho to co-infection check karein.,symptoms,WHO,general,symptoms,symptoms
30,Can dengue cause mild rashes?,Kya dengue me halkay rash ho sakte hain?,"Yes, rash may be faint or mild in early stages.","Haan, shuru me rash bohat halka hosakta hai.",symptoms;skin,Clinical,general,symptoms,symptoms
31,Is vomiting a warning sign?,Kya ulti khatwarning alamat hai?,Persistent vomiting is a warning sign and requires urgent care.,Bar bar ulti khatwarning alamat hai aur foran tawajjo chahiye.,warning_signs,WHO,urgent-care,warning_signs,warning_signs
32,Is bleeding a symptom of dengue?,Kya dengue me khoon aata hai?,"Mild bleeding may occur, but significant bleeding is a warning sign.",Halka khoon aasakta hai magar zyada bleeding khatwarning alamat hai.,warning_signs;bleeding,WHO,urgent-care,warning_signs,warning_signs
33,Can dengue cause gum bleeding?,Kya dengue me masoodon se khoon aasakta hai?,"Yes, gum bleeding is a warning sign and needs medical evaluation.","Haan, masoodon se khoon aana khatwarning alamat hai aur muaina zaroori hai.",warning_signs;bleeding,WHO,urgent-care,warning_signs,warning_signs
34,Is nosebleed common in dengue?,Kya naak se khoon aam hai?,It can happen in severe or warning-phase dengue.,Ye shadeed dengue ya warning phase me hosakta hai.,warning_signs;bleeding,WHO,urgent-care,warning_signs,warning_signs
35,Does dengue cause dark stools?,Kya dengue me siyah paikhana hota hai?,Black or tarry stool suggests internal bleeding—seek urgent care.,Siyah paikhana andarooni bleeding ki nishani hai—foran tawajjo chahiye.,warning_signs;bleeding,WHO,emergency,warning_signs,warning_signs
36,Can dengue affect breathing?,Kya dengue saans par asar karta hai?,Rapid or difficult breathing is a serious warning sign.,Tez ya mushkil saans lena bohat khatarnak alamat hai.,warning_signs;respiratory,WHO,emergency,warning_signs,warning_signs
37,Is restlessness a warning sign?,Kya bechaini khatwarning alamat hai?,"Yes, restlessness or irritability suggests poor circulation and requires urgent care.","Haan, bechaini ya chirchira-pan rawani ka masla dikhata hai aur foran tawajjo chahiye.",warning_signs,WHO,urgent-care,warning_signs,warning_signs
38,What is dengue shock?,Dengue shock kya hota hai?,A dangerous condition with very low blood pressure due to plasma leakage. It is a medical emergency.,Bohat khatarnak halat jisme khoon ka pressure bohat kam ho jata hai plasma leakage ki wajah se. Ye emergency hai.,severe_dengue,WHO,emergency,severe_dengue,severe_dengue
39,Why do platelets fall in dengue?,Platelets dengue me kyu kam hotay hain?,The virus affects bone marrow and increases destruction of platelets.,Virus bone marrow aur platelets ki tabahi dono ko mutasir karta hai.,platelets;lab,WHO,general,platelets,other
40,Does low platelet count always mean danger?,Kya kam platelets hamesha khatarnak hotay hain?,Not always. Trends and warning signs matter more than one number.,Hamesha nahi. Platelets ka rawayya aur alamat zyada aham hain.,platelets,WHO,general,platelets,other
41,When do platelets start dropping?,Platelets kab girna shuru hotay hain?,Usually around days 3–7 as fever declines.,Aksar din 3–7 me jab bukhar girta hai.,platelets;timeline,WHO,general,platelets,other
42,Can dengue cause high heart rate?,Kya dengue me dil ki dharkan tez hoti hai?,"Yes, fever and dehydration can cause increased heart rate.","Haan, bukhar aur pani ki kami se dharkan tez hosakti hai.",symptoms;cardio,Clinical,general,symptoms,symptoms
43,Can dengue cause low blood pressure?,Kya dengue me blood pressure kam hota hai?,Low BP may indicate plasma leakage and needs urgent care.,Kam BP plasma leakage ki nishani hosakta hai—urgent care zaroori hai.,warning_signs;bp,WHO,urgent-care,warning_signs,warning_signs
44,Is weakness normal in dengue?,Kya dengue me kamzori aam hai?,"Yes, weakness is very common due to fever and inflammation.","Haan, kamzori bukhar aur soozish ki wajah se bohot aam hai.",symptoms;fatigue,WHO,general,symptoms,symptoms
45,How does dengue affect appetite?,Dengue bhook par kaisa asar karta hai?,Loss of appetite is common because the body is fighting infection.,Bhook kam lagna aam hai kyun ke jism infection se lad raha hota hai.,symptoms;nutrition,Clinical,general,symptoms,symptoms
46,Can dengue cause muscle cramps?,Kya dengue me pathon me jhatkay hotay hain?,"Yes, muscle inflammation may cause cramps or stiffness.","Haan, pathon ki soozish se cramps ya sakhti hosakti hai.",symptoms;muscle,Clinical,general,symptoms,symptoms
47,Does dengue cause eye redness?,Kya dengue me aankhen laal hoti hain?,Some patients develop mild redness due to inflammation.,Kuch mareezon me soozish ki wajah se halki laalmi hosakti hai.,symptoms;eye,Clinical,general,symptoms,symptoms
48,Can dengue cause swollen glands?,Kya dengue me gardan ke gland soojte hain?,Mild lymph node swelling may occur.,Halka gland soojna hosakta hai.,symptoms;lymph_nodes,Clinical,general,symptoms,symptoms
49,Does dengue cause dry mouth?,Kya dengue me munh khushk hota hai?,"Yes, dehydration from fever can cause dry mouth.","Haan, bukhar se pani ki kami munh khushk karti hai.",hydration,WHO,general,hydration,hydration
50,Is itching normal in dengue?,Kya dengue me kharish aam hai?,"Some patients experience itching, especially with rash.",Kuch mareez rash ke sath kharish mehsoos karte hain.,symptoms;skin,Clinical,general,symptoms,symptoms
51,Can dengue cause mild swelling?,Kya dengue me halka soojan hota hai?,"Usually no, but fluid leakage in severe cases can cause swelling.","Aksar nahi, magar shadeed cases me leakage se soojan hosakti hai.",severe_dengue;leakage,WHO,urgent-care,severe_dengue,severe_dengue
52,Does dengue cause leg pain?,Kya dengue me taangon me dard hota hai?,"Yes, muscle inflammation can make leg pain common.","Haan, pathon ki soozish se taang dard aam hai.",symptoms;muscle,WHO,general,symptoms,symptoms
53,Can dengue cause chest discomfort?,Kya dengue me seene me takleef hoti hai?,"General body aches may cause discomfort, but sharp chest pain must be evaluated.","Aam jism dard se halqi takleef hosakti hai, magar tez seene ka dard check karwana chahiye.",symptoms;cardio,Clinical,urgent-care,symptoms,symptoms
54,Does dengue cause sweating?,Kya dengue me paseena aata hai?,"Yes, sweating may occur with fever spikes.","Haan, bukhar barhne par paseena aasakta hai.",symptoms;fever,WHO,general,symptoms,symptoms
55,Can dengue cause swollen eyes?,Kya dengue me aankhen sooj jati hain?,"Mild swelling may happen from fluid shifts, but significant swelling must be evaluated.","Halki soojan ho sakti hai, lekin zyada soojan ka muaina zaroori hai.",symptoms;eye,Clinical,urgent-care,symptoms,symptoms
56,Does dengue cause shivering?,Kya dengue me larzish hoti hai?,"Yes, chills and shivering can accompany early fever.","Haan, shuru me kapkapi aur larzish hosakti hai.",symptoms;fever,WHO,general,symptoms,symptoms
57,Can dengue cause red eyes?,Kya dengue me aankhen surkh hoti hain?,Some patients show eye redness from inflammation.,Kuch mareez soozish ki wajah se aankhon me surkhi mehsoos karte hain.,symptoms;eye,Clinical,general,symptoms,symptoms
58,Why do dengue patients feel extreme tiredness?,Dengue me had se zyada thakan kyu hoti hai?,The immune system uses a lot of energy to fight the virus.,Immune nizaam zyada energy istemal karta hai jis se thakan hoti hai.,fatigue,WHO,general,fatigue,other
59,Can dengue cause insomnia?,Kya dengue me neend nahi aati?,"Pain, discomfort, and fever can disturb sleep.","Dard, takleef aur bukhar neend ko mukhtalif taur par asar karte hain.",symptoms;sleep,Clinical,general,symptoms,symptoms
60,Does dengue cause anxiety?,Kya dengue me bechaini hoti hai?,Some patients feel anxious due to illness stress or dehydration.,Kuch mareez bemari ke pressure aur pani ki kami ki wajah se bechain mehsoos karte hain.,symptoms;mental_state,Clinical,general,symptoms,symptoms
61,Can dengue cause swollen hands?,Kya dengue me haath sooj jate hain?,Not typical in mild dengue; swelling suggests leakage in more severe cases.,Halka dengue me aam nahi; soojan ziyada tor par leakage ki nishani hoti hai.,severe_dengue,WHO,urgent-care,severe_dengue,severe_dengue
62,Why does dengue cause high fever?,Dengue me bukhar itna tez kyu hota hai?,The body raises temperature to fight the virus.,Jism virus se larnay ke liye temperature barhata hai.,fever,Clinical,general,fever,other
63,Does dengue cause burning eyes?,Kya dengue me aankhon me jalan hoti hai?,Some patients may feel eye burning due to inflammation and fever.,Kuch log soozish aur bukhar ki wajah se aankhon me jalan mehsoos karte hain.,symptoms;eye,Clinical,general,symptoms,symptoms
64,Can dengue cause swollen feet?,Kya dengue me paon sooj jate hain?,"Not common in mild dengue; if present, evaluate for fluid leakage.",Aksar nahi hota; agar ho to leakage ka andaza lagaya jaye.,severe_dengue,WHO,urgent-care,severe_dengue,severe_dengue
65,Does dengue cause tingling sensations?,Kya dengue me jism me jalan ya tingling hoti hai?,Rare but can occur due to inflammation or dehydration.,Kam hota hai magar soozish ya pani ki kami ki wajah se hosakta hai.,symptoms;neuro,Clinical,general,symptoms,symptoms
66,Is loss of smell a dengue symptom?,Kya dengue me smell kam hota hai?,Not typical; investigate for co-infection.,Aam alamat nahi; co-infection check karein.,symptoms,Clinical,general,symptoms,symptoms
67,Can dengue cause chills without fever?,Kya dengue me bukhar ke baghair kapkapi hosakti hai?,"Usually chills accompany fever, not occur alone.",Kapkapi aksar bukhar ke sath hoti hai.,symptoms,WHO,general,symptoms,symptoms
68,Does dengue cause throat dryness?,Kya dengue me gala khushk hota hai?,"Yes, dehydration can cause throat dryness.","Haan, pani ki kami se gala khushk hosakta hai.",hydration,WHO,general,hydration,hydration
69,Can dengue cause swollen lips?,Kya dengue me hont sooj jate hain?,Uncommon; evaluate for allergic reaction or complications.,Aam nahi; allergy ya complication ka muaina karein.,symptoms,Clinical,urgent-care,symptoms,symptoms
70,Does dengue cause fever spikes?,Kya dengue me bukhar kabhi kabhi bohat barh jata hai?,"Yes, fever may spike suddenly, especially early in illness.","Haan, shuru me bukhar achanak barh sakta hai.",fever,WHO,general,fever,other
71,Does dengue cause cold hands and feet?,Kya dengue me haath paon thanday ho jate hain?,Cold extremities can indicate poor circulation during severe dengue.,Haath paon thanday hona poor circulation ki nishani hosakta hai.,severe_dengue,WHO,emergency,severe_dengue,severe_dengue
72,Can dengue cause irritability?,Kya dengue me chirr-chirrapan hota hai?,"Yes, especially in children or dehydrated patients.","Haan, khas tor par bachon aur dehydrated logon me.",pediatrics;symptoms,Clinical,urgent-care,pediatrics,pediatrics
73,Does dengue cause muscle stiffness?,Kya dengue me pathon me sakhti hoti hai?,"Yes, inflammation causes stiffness and soreness.","Haan, soozish sakhti ka sabab banti hai.",symptoms;muscle,Clinical,general,symptoms,symptoms
74,Does dengue cause chest tightness?,Kya dengue me seena tang lagta hai?,Not typical; must evaluate for complications or anxiety.,Aam nahi; complication ya bechaini ka muaina karein.,symptoms,Clinical,urgent-care,symptoms,symptoms
75,Can dengue cause pale skin?,Kya dengue me chehra peela ya feeka lagta hai?,"Yes, dehydration or low circulation may cause paleness.","Haan, pani ki kami ya low circulation se rang feeka hosakta hai.",symptoms;circulation,Clinical,urgent-care,symptoms,symptoms
76,Can dengue cause chills after fever drops?,Kya bukhar girne ke baad kapkapi hoti hai?,Some may feel chills due to temperature changes and dehydration.,Kuch log temperature ke farq aur pani ki kami se kapkapi mehsoos karte hain.,fever,Clinical,general,fever,other
77,Does dengue cause joint stiffness?,Kya dengue me joron me sakhti hoti hai?,"Yes, inflammation can cause stiffness along with pain.","Haan, soozish se sakhti aur dard dono hosaktay hain.",symptoms;joints,WHO,general,symptoms,symptoms
78,Can dengue cause mild back stiffness?,Kya dengue me kamar me sakhti hosakti hai?,"Yes, muscle involvement may cause stiffness.","Haan, pathon ki soozish se kamar sakhti hosakti hai.",symptoms;muscle,Clinical,general,symptoms,symptoms
79,Does dengue cause chills at night?,Kya dengue me raat ko kapkapi hoti hai?,"Yes, fever fluctuations can cause nighttime chills.","Haan, bukhar ke farq ki wajah se raat me kapkapi hosakti hai.",fever,Clinical,general,fever,other
80,Does dengue cause leg weakness?,Kya dengue me taang kamzor hoti hai?,"Yes, fatigue and dehydration can cause leg weakness.","Haan, thakan aur dehydration taang kamzor karte hain.",fatigue;hydration,WHO,general,fatigue,other
81,Can dengue cause rapid pulse?,Kya dengue me nabz tez hoti hai?,"Yes, high fever and dehydration increase heart rate.","Haan, bukhar aur dehydration se nabz tez hosakti hai.",symptoms;cardio,Clinical,general,symptoms,symptoms
82,Is high fever always present in dengue?,Kya hamesha bohat tez bukhar hota hai?,"Most cases present with high fever, but not all.","Aksar cases me tez bukhar hota hai, magar har case me nahi.",fever,WHO,general,fever,other
83,Does dengue cause swelling around eyes?,Kya dengue me aankhon ke gird soojan hoti hai?,Mild swelling may appear but significant swelling is concerning.,Halki soojan hosakti hai lekin zyada soojan par muaina zaroori hai.,eye;swelling,Clinical,urgent-care,eye,symptoms
84,Can dengue cause noise sensitivity?,Kya dengue me awazon se takleef hoti hai?,"Yes, headache may increase noise sensitivity.","Haan, sar dard se awazon se takleef barh sakti hai.",symptoms,Clinical,general,symptoms,symptoms
85,Does dengue cause light sensitivity?,Kya dengue me roshni se takleef hoti hai?,"Yes, severe headache can cause sensitivity to light.","Haan, shadeed sar dard roshni se takleef paida karta hai.",symptoms;eye,WHO,general,symptoms,symptoms
86,Why does dengue cause full-body pain?,Dengue me poora jism kyu dard karta hai?,The immune response and inflammation affect multiple muscles.,Immune nizaam aur soozish puray jism ko mutasir karti hai.,body_pain,WHO,general,body_pain,symptoms
87,Can dengue cause shoulder pain?,Kya dengue me kandhon me dard hota hai?,"Yes, generalized muscle pain may extend to shoulders.","Haan, aam jism dard kandhon tak hosakta hai.",muscle,Clinical,general,muscle,symptoms
88,Does dengue cause sinus pain?,Kya dengue me sinuses me dard hota hai?,Not typical; evaluate if sinus symptoms dominate.,Aam nahi; agar sirf sinus me dard ho to muaina karein.,symptoms,Clinical,general,symptoms,symptoms
89,Can dengue cause burning skin?,Kya dengue me jild jalti hui mehsoos hoti hai?,Some feel burning sensation due to skin sensitivity.,Kuch log jild me jalan mehsoos karte hain.,skin,Clinical,general,skin,symptoms
90,Does dengue cause sharp headaches?,Kya dengue me teekhay sar dard hotay hain?,"Yes, severe and sharp headaches are common.","Haan, shadeed aur teekhay sar dard aam hain.",symptoms,WHO,general,symptoms,symptoms
91,Does dengue cause sudden fatigue?,Kya dengue me achanak thakan hoti hai?,"Yes, sudden fatigue is common early in illness.","Haan, shuru me achanak thakan aam hoti hai.",fatigue,Clinical,general,fatigue,other
92,Can dengue cause mild diarrhea?,Kya dengue me halki dast ho sakti hain?,"Some patients may have loose stools, but severe diarrhea is uncommon.",Kuch mareezon me halki dast hosakti hain; shadeed dast aam nahi.,gastro,WHO,general,gastro,symptoms
93,Does dengue cause bloating?,Kya dengue me pait phoolta hai?,Mild bloating may occur; severe abdominal distension needs evaluation.,Halki phoolan hosakti hai; zyada phoolan ka muaina zaroori hai.,symptoms;abdomen,Clinical,urgent-care,symptoms,symptoms
94,Can dengue cause burning feet?,Kya dengue me paon jalte hain?,Rare but possible due to nerve irritation.,Kam hota hai lekin nerve irritation se hosakta hai.,neuro,Clinical,general,neuro,other
95,Does dengue cause headache without fever?,Kya dengue me bukhar ke baghair sar dard hosakta hai?,"Usually headache comes with fever, but early infection may show isolated headache.",Aksar sar dard bukhar ke sath hota hai magar shuruati soorat me alag bhi hosakta hai.,symptoms,Clinical,general,symptoms,symptoms
96,Can dengue cause slow heart rate?,Kya dengue me dharkan sust hosakti hai?,Uncommon; evaluate immediately if present.,Aam nahi; agar ho to foran muaina karein.,cardio,Clinical,urgent-care,cardio,symptoms
97,Does dengue affect the tongue?,Kya dengue zaban par asar karta hai?,Coating or dryness may occur due to dehydration.,Dehydration ki wajah se zaban khushk ya coated hosakti hai.,symptoms;hydration,Clinical,general,symptoms,symptoms
98,Does dengue cause unusual dreams?,Kya dengue me ajeeb khwabon ka masla hota hai?,Fever can disturb sleep patterns and cause vivid dreams.,Bukhar neend ko mutasir karta hai jis se ajeeb khwab aasaktay hain.,sleep,Clinical,general,sleep,symptoms
99,Can dengue cause pain in ribs?,Kya dengue me pasliyon me dard hosakta hai?,Generalized body pain may extend to rib areas.,Jism dard pasliyon tak mehsoos hosakta hai.,body_pain,Clinical,general,body_pain,symptoms
100,Is mild abdominal discomfort normal?,Kya dengue me halka pait dard normal hai?,"Mild discomfort can occur, but severe pain is a warning sign.",Halka pait dard hosakta hai lekin shadeed dard khatwarning alamat hai.,symptoms;abdomen,WHO,urgent-care,symptoms,symptoms
101,What day should I do the NS1 test for dengue?,NS1 test kis din karwana chahiye?,NS1 antigen is most accurate in the first 1–5 days of illness.,NS1 antigen pehle 1–5 din me sab se zyada sahi hota hai.,diagnosis;testing,WHO/CDC,general,diagnosis,diagnosis
102,When is PCR useful in dengue?,Dengue me PCR kab faydemand hota hai?,PCR detects the virus in days 1–5 and confirms early infection.,PCR pehle 1–5 din me virus ko behtareen tor par pakarta hai.,diagnosis;testing,WHO,general,diagnosis,diagnosis
103,What does a positive IgM mean?,IgM positive ka kya matlab hota hai?,IgM becomes positive around day 4–5 and indicates a recent dengue infection.,IgM aam tor par din 4–5 ke baad positive hota hai jo haal hi ka dengue infection dikhata hai.,diagnosis;serology,WHO,general,diagnosis,diagnosis
104,What does IgG show in dengue?,IgG dengue me kya batata hai?,IgG shows past exposure; high levels with symptoms can support diagnosis.,IgG guzishta dengue infection ka asar dikhata hai.,diagnosis;serology,WHO,general,diagnosis,diagnosis
105,Why does fever drop before complications?,Bukhar complications se pehle kyun girta hai?,The critical phase usually starts as fever falls between days 3–7.,Critical phase aam tor par din 3–7 me bukhar girne ke sath shuru hoti hai.,timeline;warning_signs,WHO,urgent-care,timeline,timeline
106,What is plasma leakage?,Plasma leakage kya hota hai?,"Leaky blood vessels cause fluids to move out of circulation, leading to complications.",Ragoon ke leak hone se maye jism ke bahar nikal jata hai aur halat bigar sakti hai.,severe_dengue;complications,WHO,urgent-care,severe_dengue,severe_dengue
107,What is dengue shock?,Dengue shock kya hota hai?,Dangerously low blood pressure caused by severe plasma leakage; this is a medical emergency.,Shadeed plasma leakage se blood pressure bohat kam ho jata hai—ye emergency hai.,severe_dengue;shock,WHO,emergency,severe_dengue,severe_dengue
108,What is hemoconcentration in dengue?,Dengue me hemoconcentration kya hai?,A rising hematocrit indicates plasma leakage and requires close monitoring.,Hematocrit ka barhna plasma leakage ki nishani hoti hai.,labs;monitoring,WHO,urgent-care,labs,laboratory
109,How often should CBC be checked?,CBC kitni dafa check karna chahiye?,"During days 3–7, CBC may need checking daily or more often based on symptoms.",Din 3–7 me CBC ko rozana ya zarurat ke mutabiq bar bar check karna parta hai.,labs;monitoring,WHO,general,labs,laboratory
110,Do low platelets always need transfusion?,Kya kam platelets me transfusion zaruri hota hai?,"No. Transfusion depends on bleeding, not just platelet numbers.","Nahi. Transfusion bleeding ki surat me hota hai, sirf number par nahi.",labs;platelets,WHO,urgent-care,labs,laboratory
111,Which painkiller is safe in dengue?,Dengue me kaunsi dard ki dawa sahi hai?,"Use only paracetamol. Avoid ibuprofen, aspirin, and NSAIDs due to bleeding risk.","Sirf paracetamol istemal karein. Ibuprofen, aspirin se parhez karein.",medications;safe,WHO,general,medications,medications
112,How much water should adults drink?,Baron ko kitna pani peena chahiye?,"Drink frequent small amounts of water, ORS, soups, or juices to prevent dehydration.","Choti choti matra me pani, ORS, yakhni ya juice pite rahain.",hydration;home_care,WHO,general,hydration,hydration
113,Is severe abdominal pain dangerous?,Shadeed pait ka dard khatarnak hai?,Yes. Severe abdominal pain is a warning sign and needs urgent medical care.,Haan. Shadeed pait ka dard khatwarning alamat hai aur foran muaina zaruri hai.,warning_signs;abdomen,WHO,urgent-care,warning_signs,warning_signs
114,Is gum or nose bleeding serious?,Naak ya masoodon se khoon nikalna khatarnak hai?,Yes. It can indicate severe dengue and needs urgent evaluation.,"Haan, ye severe dengue ki nishani ho sakta hai—jaldi muaina zaruri hai.",warning_signs;bleeding,WHO,urgent-care,warning_signs,warning_signs
115,What is the role of ORS?,ORS dengue me kitna faida deta hai?,ORS replaces fluids and electrolytes and helps prevent dehydration.,ORS maye aur namak ki kami ko poora karta hai aur dehydration rokta hai.,hydration;home_care,WHO,general,hydration,hydration
116,Can dengue affect the liver?,Kya dengue jigar ko mutasir karta hai?,Yes. Mild liver inflammation is common; severe cases need hospital care.,"Haan, jigar ke enzymes barh sakte hain; shadeed soorat me hospital darkar hota hai.",complications;liver,WHO,urgent-care,complications,complications
117,Is vomiting a warning sign?,Kya bar bar ulti khatwarning alamat hai?,Yes. Persistent vomiting is dangerous and needs urgent care.,"Haan, lagatar ulti khatwarning alamat hai aur foran madad ki zarurat hoti hai.",warning_signs;vomiting,WHO,urgent-care,warning_signs,warning_signs
