id,question_en,question_ru,answer_en,answer_ru,tags,sources,safety_level
11,What does dengue rash look like?,Dengue ka rash kaisa hota hai?,"It may appear as red patches or small spots, sometimes itchy.","Ye laal dhabbay ya chotay nishanon ki shakal me hota hai, kabhi kabhi kharish bhi hoti hai.",symptoms;skin,Clinical sources,general
12,Does dengue cause mild fever?,Kya dengue me halka bukhar hota hai?,"Usually dengue starts with high fever, but some cases may begin mildly.","Aksar dengue tez bukhar se shuru hota hai, magar kuch mein halka bukhar bhi hosakta hai.",fever,WHO,general
13,How long does dengue fever last?,Dengue ka bukhar kitne din rehta hai?,The fever phase typically lasts 2–7 days.,Bukhar aam tor par 2–7 din rehta hai.,fever;timeline,WHO,general
14,Can dengue fever return after going down?,Kya bukhar kam hone ke baad wapas aa sakta hai?,"It usually does not return once resolved, but the critical phase begins as fever drops.","Bukhar kam hone ke baad aam tor par wapas nahi aata, magar critical phase us waqt shuru hota hai.",fever;critical_phase,WHO,urgent-care
15,What is the critical phase in dengue?,Dengue me critical phase kya hoti hai?,The 24–48 hours after fever decreases when plasma leakage and warning signs may appear.,Bukhar girne ke 24–48 ghante critical phase hote hain jisme leakage aur khatwarning alamat samne aa sakti hain.,critical_phase,WHO,urgent-care
16,Why does the fever fall suddenly in dengue?,Dengue me bukhar achanak kyu girta hai?,This is part of the illness cycle; the drop signals the start of the critical phase.,Ye dengue ke cycle ka hissa hai; bukhar girna critical phase ka aaghaz hota hai.,fever;critical_phase,Clinical,urgent-care
17,Do children show the same symptoms as adults?,Bachon me bhi yahi alamat hoti hain?,"Yes, but children may worsen faster and require closer monitoring.","Haan, lekin bachon ki halat tez bigar sakti hai is liye zyada nigrani chahiye.",pediatrics;symptoms,WHO,urgent-care
18,Can dengue cause extreme fatigue?,Kya dengue se had se zyada thakan hoti hai?,"Yes, severe fatigue is common during and after dengue.","Haan, shadeed thakan bimari ke duran aur baad me aam hoti hai.",symptoms;fatigue,WHO,general
19,Does dengue cause dizziness?,Kya dengue me chakkar aate hain?,Mild dizziness can occur due to dehydration or fever. Severe dizziness must be evaluated.,Halka chakkar pani ki kami ya bukhar se ho sakta hai. Shadeed chakkar ka muaina zaroori hai.,symptoms;hydration,Clinical,urgent-care
20,Can dehydration happen in dengue?,Kya dengue me pani ki kami ho sakti hai?,"Yes, due to fever, vomiting, and reduced intake. Hydration is essential.","Haan, bukhar, ulti aur kam pani pene ki wajah se pani ki kami hosakti hai. Hydration zaroori hai.",hydration;symptoms,WHO,general
21,Why is hydration important in dengue?,Dengue me pani pina itna zaroori kyu hai?,"Fluids help prevent shock, maintain circulation, and reduce complications.","Maye shock se bachate hain, khoon ki rawani behtar karte hain aur complications kam karte hain.",hydration,WHO,general
22,Is loss of appetite normal?,Kya dengue me bhook kam lagna aam hai?,"Yes, appetite often decreases. Small, frequent meals are recommended.","Haan, bhook aksar kam hoti hai. Choti choti matra me khana behtar hai.",symptoms;nutrition,WHO,general
23,Does dengue cause body aches?,Kya dengue me jism dard hota hai?,"Yes, intense body aches are one of the hallmark features.","Haan, shadeed jism dard dengue ki khas alamat me se hai.",symptoms;body_pain,WHO,general
24,Can dengue cause chills?,Kya dengue me kapkapi hoti hai?,"Yes, chills may accompany the initial fever.","Haan, shuruati bukhar ke sath kapkapi hosakti hai.",symptoms;fever,WHO,general
25,Do all dengue patients have rash?,Kya har dengue mareez me rash hota hai?,"No, the rash is common but not seen in all cases.","Nahi, rash aam hai lekin sab me nahi hota.",symptoms;skin,WHO,general
26,Are red spots on skin a sign of dengue?,Kya jild par laal nishaan dengue ki alamat hain?,"They can be, especially if accompanied by fever and body pain.","Hosakte hain, khas tor par agar bukhar aur jism dard bhi ho.",symptoms;skin,Clinical,general
27,Why do some people not show symptoms?,Kuch logon me alamat kyu nahi hoti?,"Some infections are mild or asymptomatic, depending on immunity.",Kuch logon me immune nizaam ki wajah se alamat bohat halki ya gayab hoti hain.,immunity;symptoms,WHO,general
28,Can dengue cause sore throat?,Kya dengue me gala dard hota hai?,It is not typical but may occur in some patients.,Aksar nahi hota lekin kuch mareezon me hosakta hai.,symptoms;throat,Clinical,general
29,Does dengue cause cough?,Kya dengue me khansi hoti hai?,"Cough is not a main symptom; if present, evaluate for co-infection.",Khansi dengue ki khas alamat nahi. Agar ho to co-infection check karein.,symptoms,WHO,general
30,Can dengue cause mild rashes?,Kya dengue me halkay rash ho sakte hain?,"Yes, rash may be faint or mild in early stages.","Haan, shuru me rash bohat halka hosakta hai.",symptoms;skin,Clinical,general
31,Is vomiting a warning sign?,Kya ulti khatwarning alamat hai?,Persistent vomiting is a warning sign and requires urgent care.,Bar bar ulti khatwarning alamat hai aur foran tawajjo chahiye.,warning_signs,WHO,urgent-care
32,Is bleeding a symptom of dengue?,Kya dengue me khoon aata hai?,"Mild bleeding may occur, but significant bleeding is a warning sign.",Halka khoon aasakta hai magar zyada bleeding khatwarning alamat hai.,warning_signs;bleeding,WHO,urgent-care
33,Can dengue cause gum bleeding?,Kya dengue me masoodon se khoon aasakta hai?,"Yes, gum bleeding is a warning sign and needs medical evaluation.","Haan, masoodon se khoon aana khatwarning alamat hai aur muaina zaroori hai.",warning_signs;bleeding,WHO,urgent-care
34,Is nosebleed common in dengue?,Kya naak se khoon aam hai?,It can happen in severe or warning-phase dengue.,Ye shadeed dengue ya warning phase me hosakta hai.,warning_signs;bleeding,WHO,urgent-care
35,Does dengue cause dark stools?,Kya dengue me siyah paikhana hota hai?,Black or tarry stool suggests internal bleeding—seek urgent care.,Siyah paikhana andarooni bleeding ki nishani hai—foran tawajjo chahiye.,warning_signs;bleeding,WHO,emergency
36,Can dengue affect breathing?,Kya dengue saans par asar karta hai?,Rapid or difficult breathing is a serious warning sign.,Tez ya mushkil saans lena bohat khatarnak alamat hai.,warning_signs;respiratory,WHO,emergency
37,Is restlessness a warning sign?,Kya bechaini khatwarning alamat hai?,"Yes, restlessness or irritability suggests poor circulation and requires urgent care.","Haan, bechaini ya chirchira-pan rawani ka masla dikhata hai aur foran tawajjo chahiye.",warning_signs,WHO,urgent-care
38,What is dengue shock?,Dengue shock kya hota hai?,A dangerous condition with very low blood pressure due to plasma leakage. It is a medical emergency.,Bohat khatarnak halat jisme khoon ka pressure bohat kam ho jata hai plasma leakage ki wajah se. Ye emergency hai.,severe_dengue,WHO,emergency
39,Why do platelets fall in dengue?,Platelets dengue me kyu kam hotay hain?,The virus affects bone marrow and increases destruction of platelets.,Virus bone marrow aur platelets ki tabahi dono ko mutasir karta hai.,platelets;lab,WHO,general
40,Does low platelet count always mean danger?,Kya kam platelets hamesha khatarnak hotay hain?,Not always. Trends and warning signs matter more than one number.,Hamesha nahi. Platelets ka rawayya aur alamat zyada aham hain.,platelets,WHO,general
41,When do platelets start dropping?,Platelets kab girna shuru hotay hain?,Usually around days 3–7 as fever declines.,Aksar din 3–7 me jab bukhar girta hai.,platelets;timeline,WHO,general
42,Can dengue cause high heart rate?,Kya dengue me dil ki dharkan tez hoti hai?,"Yes, fever and dehydration can cause increased heart rate.","Haan, bukhar aur pani ki kami se dharkan tez hosakti hai.",symptoms;cardio,Clinical,general
43,Can dengue cause low blood pressure?,Kya dengue me blood pressure kam hota hai?,Low BP may indicate plasma leakage and needs urgent care.,Kam BP plasma leakage ki nishani hosakta hai—urgent care zaroori hai.,warning_signs;bp,WHO,urgent-care
44,Is weakness normal in dengue?,Kya dengue me kamzori aam hai?,"Yes, weakness is very common due to fever and inflammation.","Haan, kamzori bukhar aur soozish ki wajah se bohot aam hai.",symptoms;fatigue,WHO,general
45,How does dengue affect appetite?,Dengue bhook par kaisa asar karta hai?,Loss of appetite is common because the body is fighting infection.,Bhook kam lagna aam hai kyun ke jism infection se lad raha hota hai.,symptoms;nutrition,Clinical,general
46,Can dengue cause muscle cramps?,Kya dengue me pathon me jhatkay hotay hain?,"Yes, muscle inflammation may cause cramps or stiffness.","Haan, pathon ki soozish se cramps ya sakhti hosakti hai.",symptoms;muscle,Clinical,general
47,Does dengue cause eye redness?,Kya dengue me aankhen laal hoti hain?,Some patients develop mild redness due to inflammation.,Kuch mareezon me soozish ki wajah se halki laalmi hosakti hai.,symptoms;eye,Clinical,general
48,Can dengue cause swollen glands?,Kya dengue me gardan ke gland soojte hain?,Mild lymph node swelling may occur.,Halka gland soojna hosakta hai.,symptoms;lymph_nodes,Clinical,general
49,Does dengue cause dry mouth?,Kya dengue me munh khushk hota hai?,"Yes, dehydration from fever can cause dry mouth.","Haan, bukhar se pani ki kami munh khushk karti hai.",hydration,WHO,general
50,Is itching normal in dengue?,Kya dengue me kharish aam hai?,"Some patients experience itching, especially with rash.",Kuch mareez rash ke sath kharish mehsoos karte hain.,symptoms;skin,Clinical,general
51,Can dengue cause mild swelling?,Kya dengue me halka soojan hota hai?,"Usually no, but fluid leakage in severe cases can cause swelling.","Aksar nahi, magar shadeed cases me leakage se soojan hosakti hai.",severe_dengue;leakage,WHO,urgent-care
52,Does dengue cause leg pain?,Kya dengue me taangon me dard hota hai?,"Yes, muscle inflammation can make leg pain common.","Haan, pathon ki soozish se taang dard aam hai.",symptoms;muscle,WHO,general
53,Can dengue cause chest discomfort?,Kya dengue me seene me takleef hoti hai?,"General body aches may cause discomfort, but sharp chest pain must be evaluated.","Aam jism dard se halqi takleef hosakti hai, magar tez seene ka dard check karwana chahiye.",symptoms;cardio,Clinical,urgent-care
54,Does dengue cause sweating?,Kya dengue me paseena aata hai?,"Yes, sweating may occur with fever spikes.","Haan, bukhar barhne par paseena aasakta hai.",symptoms;fever,WHO,general
55,Can dengue cause swollen eyes?,Kya dengue me aankhen sooj jati hain?,"Mild swelling may happen from fluid shifts, but significant swelling must be evaluated.","Halki soojan ho sakti hai, lekin zyada soojan ka muaina zaroori hai.",symptoms;eye,Clinical,urgent-care
56,Does dengue cause shivering?,Kya dengue me larzish hoti hai?,"Yes, chills and shivering can accompany early fever.","Haan, shuru me kapkapi aur larzish hosakti hai.",symptoms;fever,WHO,general
57,Can dengue cause red eyes?,Kya dengue me aankhen surkh hoti hain?,Some patients show eye redness from inflammation.,Kuch mareez soozish ki wajah se aankhon me surkhi mehsoos karte hain.,symptoms;eye,Clinical,general
58,Why do dengue patients feel extreme tiredness?,Dengue me had se zyada thakan kyu hoti hai?,The immune system uses a lot of energy to fight the virus.,Immune nizaam zyada energy istemal karta hai jis se thakan hoti hai.,fatigue,WHO,general
59,Can dengue cause insomnia?,Kya dengue me neend nahi aati?,"Pain, discomfort, and fever can disturb sleep.","Dard, takleef aur bukhar neend ko mukhtalif taur par asar karte hain.",symptoms;sleep,Clinical,general
60,Does dengue cause anxiety?,Kya dengue me bechaini hoti hai?,Some patients feel anxious due to illness stress or dehydration.,Kuch mareez bemari ke pressure aur pani ki kami ki wajah se bechain mehsoos karte hain.,symptoms;mental_state,Clinical,general
61,Can dengue cause swollen hands?,Kya dengue me haath sooj jate hain?,Not typical in mild dengue; swelling suggests leakage in more severe cases.,Halka dengue me aam nahi; soojan ziyada tor par leakage ki nishani hoti hai.,severe_dengue,WHO,urgent-care
62,Why does dengue cause high fever?,Dengue me bukhar itna tez kyu hota hai?,The body raises temperature to fight the virus.,Jism virus se larnay ke liye temperature barhata hai.,fever,Clinical,general
63,Does dengue cause burning eyes?,Kya dengue me aankhon me jalan hoti hai?,Some patients may feel eye burning due to inflammation and fever.,Kuch log soozish aur bukhar ki wajah se aankhon me jalan mehsoos karte hain.,symptoms;eye,Clinical,general
64,Can dengue cause swollen feet?,Kya dengue me paon sooj jate hain?,"Not common in mild dengue; if present, evaluate for fluid leakage.",Aksar nahi hota; agar ho to leakage ka andaza lagaya jaye.,severe_dengue,WHO,urgent-care
65,Does dengue cause tingling sensations?,Kya dengue me jism me jalan ya tingling hoti hai?,Rare but can occur due to inflammation or dehydration.,Kam hota hai magar soozish ya pani ki kami ki wajah se hosakta hai.,symptoms;neuro,Clinical,general
66,Is loss of smell a dengue symptom?,Kya dengue me smell kam hota hai?,Not typical; investigate for co-infection.,Aam alamat nahi; co-infection check karein.,symptoms,Clinical,general
67,Can dengue cause chills without fever?,Kya dengue me bukhar ke baghair kapkapi hosakti hai?,"Usually chills accompany fever, not occur alone.",Kapkapi aksar bukhar ke sath hoti hai.,symptoms,WHO,general
68,Does dengue cause throat dryness?,Kya dengue me gala khushk hota hai?,"Yes, dehydration can cause throat dryness.","Haan, pani ki kami se gala khushk hosakta hai.",hydration,WHO,general
69,Can dengue cause swollen lips?,Kya dengue me hont sooj jate hain?,Uncommon; evaluate for allergic reaction or complications.,Aam nahi; allergy ya complication ka muaina karein.,symptoms,Clinical,urgent-care
70,Does dengue cause fever spikes?,Kya dengue me bukhar kabhi kabhi bohat barh jata hai?,"Yes, fever may spike suddenly, especially early in illness.","Haan, shuru me bukhar achanak barh sakta hai.",fever,WHO,general
71,Does dengue cause cold hands and feet?,Kya dengue me haath paon thanday ho jate hain?,Cold extremities can indicate poor circulation during severe dengue.,Haath paon thanday hona poor circulation ki nishani hosakta hai.,severe_dengue,WHO,emergency
72,Can dengue cause irritability?,Kya dengue me chirr-chirrapan hota hai?,"Yes, especially in children or dehydrated patients.","Haan, khas tor par bachon aur dehydrated logon me.",pediatrics;symptoms,Clinical,urgent-care
73,Does dengue cause muscle stiffness?,Kya dengue me pathon me sakhti hoti hai?,"Yes, inflammation causes stiffness and soreness.","Haan, soozish sakhti ka sabab banti hai.",symptoms;muscle,Clinical,general
74,Does dengue cause chest tightness?,Kya dengue me seena tang lagta hai?,Not typical; must evaluate for complications or anxiety.,Aam nahi; complication ya bechaini ka muaina karein.,symptoms,Clinical,urgent-care
75,Can dengue cause pale skin?,Kya dengue me chehra peela ya feeka lagta hai?,"Yes, dehydration or low circulation may cause paleness.","Haan, pani ki kami ya low circulation se rang feeka hosakta hai.",symptoms;circulation,Clinical,urgent-care
76,Can dengue cause chills after fever drops?,Kya bukhar girne ke baad kapkapi hoti hai?,Some may feel chills due to temperature changes and dehydration.,Kuch log temperature ke farq aur pani ki kami se kapkapi mehsoos karte hain.,fever,Clinical,general
77,Does dengue cause joint stiffness?,Kya dengue me joron me sakhti hoti hai?,"Yes, inflammation can cause stiffness along with pain.","Haan, soozish se sakhti aur dard dono hosaktay hain.",symptoms;joints,WHO,general
78,Can dengue cause mild back stiffness?,Kya dengue me kamar me sakhti hosakti hai?,"Yes, muscle involvement may cause stiffness.","Haan, pathon ki soozish se kamar sakhti hosakti hai.",symptoms;muscle,Clinical,general
79,Does dengue cause chills at night?,Kya dengue me raat ko kapkapi hoti hai?,"Yes, fever fluctuations can cause nighttime chills.","Haan, bukhar ke farq ki wajah se raat me kapkapi hosakti hai.",fever,Clinical,general
80,Does dengue cause leg weakness?,Kya dengue me taang kamzor hoti hai?,"Yes, fatigue and dehydration can cause leg weakness.","Haan, thakan aur dehydration taang kamzor karte hain.",fatigue;hydration,WHO,general
81,Can dengue cause rapid pulse?,Kya dengue me nabz tez hoti hai?,"Yes, high fever and dehydration increase heart rate.","Haan, bukhar aur dehydration se nabz tez hosakti hai.",symptoms;cardio,Clinical,general
82,Is high fever always present in dengue?,Kya hamesha bohat tez bukhar hota hai?,"Most cases present with high fever, but not all.","Aksar cases me tez bukhar hota hai, magar har case me nahi.",fever,WHO,general
83,Does dengue cause swelling around eyes?,Kya dengue me aankhon ke gird soojan hoti hai?,Mild swelling may appear but significant swelling is concerning.,Halki soojan hosakti hai lekin zyada soojan par muaina zaroori hai.,eye;swelling,Clinical,urgent-care
84,Can dengue cause noise sensitivity?,Kya dengue me awazon se takleef hoti hai?,"Yes, headache may increase noise sensitivity.","Haan, sar dard se awazon se takleef barh sakti hai.",symptoms,Clinical,general
85,Does dengue cause light sensitivity?,Kya dengue me roshni se takleef hoti hai?,"Yes, severe headache can cause sensitivity to light.","Haan, shadeed sar dard roshni se takleef paida karta hai.",symptoms;eye,WHO,general
86,Why does dengue cause full-body pain?,Dengue me poora jism kyu dard karta hai?,The immune response and inflammation affect multiple muscles.,Immune nizaam aur soozish puray jism ko mutasir karti hai.,body_pain,WHO,general
87,Can dengue cause shoulder pain?,Kya dengue me kandhon me dard hota hai?,"Yes, generalized muscle pain may extend to shoulders.","Haan, aam jism dard kandhon tak hosakta hai.",muscle,Clinical,general
88,Does dengue cause sinus pain?,Kya dengue me sinuses me dard hota hai?,Not typical; evaluate if sinus symptoms dominate.,Aam nahi; agar sirf sinus me dard ho to muaina karein.,symptoms,Clinical,general
89,Can dengue cause burning skin?,Kya dengue me jild jalti hui mehsoos hoti hai?,Some feel burning sensation due to skin sensitivity.,Kuch log jild me jalan mehsoos karte hain.,skin,Clinical,general
90,Does dengue cause sharp headaches?,Kya dengue me teekhay sar dard hotay hain?,"Yes, severe and sharp headaches are common.","Haan, shadeed aur teekhay sar dard aam hain.",symptoms,WHO,general
91,Does dengue cause sudden fatigue?,Kya dengue me achanak thakan hoti hai?,"Yes, sudden fatigue is common early in illness.","Haan, shuru me achanak thakan aam hoti hai.",fatigue,Clinical,general
92,Can dengue cause mild diarrhea?,Kya dengue me halki dast ho sakti hain?,"Some patients may have loose stools, but severe diarrhea is uncommon.",Kuch mareezon me halki dast hosakti hain; shadeed dast aam nahi.,gastro,WHO,general
93,Does dengue cause bloating?,Kya dengue me pait phoolta hai?,Mild bloating may occur; severe abdominal distension needs evaluation.,Halki phoolan hosakti hai; zyada phoolan ka muaina zaroori hai.,symptoms;abdomen,Clinical,urgent-care
94,Can dengue cause burning feet?,Kya dengue me paon jalte hain?,Rare but possible due to nerve irritation.,Kam hota hai lekin nerve irritation se hosakta hai.,neuro,Clinical,general
95,Does dengue cause headache without fever?,Kya dengue me bukhar ke baghair sar dard hosakta hai?,"Usually headache comes with fever, but early infection may show isolated headache.",Aksar sar dard bukhar ke sath hota hai magar shuruati soorat me alag bhi hosakta hai.,symptoms,Clinical,general
96,Can dengue cause slow heart rate?,Kya dengue me dharkan sust hosakti hai?,Uncommon; evaluate immediately if present.,Aam nahi; agar ho to foran muaina karein.,cardio,Clinical,urgent-care
97,Does dengue affect the tongue?,Kya dengue zaban par asar karta hai?,Coating or dryness may occur due to dehydration.,Dehydration ki wajah se zaban khushk ya coated hosakti hai.,symptoms;hydration,Clinical,general
98,Does dengue cause unusual dreams?,Kya dengue me ajeeb khwabon ka masla hota hai?,Fever can disturb sleep patterns and cause vivid dreams.,Bukhar neend ko mutasir karta hai jis se ajeeb khwab aasaktay hain.,sleep,Clinical,general
99,Can dengue cause pain in ribs?,Kya dengue me pasliyon me dard hosakta hai?,Generalized body pain may extend to rib areas.,Jism dard pasliyon tak mehsoos hosakta hai.,body_pain,Clinical,general
100,Is mild abdominal discomfort normal?,Kya dengue me halka pait dard normal hai?,"Mild discomfort can occur, but severe pain is a warning sign.",Halka pait dard hosakta hai lekin shadeed dard khatwarning alamat hai.,symptoms;abdomen,WHO,urgent-care
101,What day should I do the NS1 test for dengue?,NS1 test kis din karwana chahiye?,NS1 antigen is most accurate in the first 1–5 days of illness.,NS1 antigen pehle 1–5 din me sab se zyada sahi hota hai.,diagnosis;testing,WHO/CDC,general
102,When is PCR useful in dengue?,Dengue me PCR kab faydemand hota hai?,PCR detects the virus in days 1–5 and confirms early infection.,PCR pehle 1–5 din me virus ko behtareen tor par pakarta hai.,diagnosis;testing,WHO,general
103,What does a positive IgM mean?,IgM positive ka kya matlab hota hai?,IgM becomes positive around day 4–5 and indicates a recent dengue infection.,IgM aam tor par din 4–5 ke baad positive hota hai jo haal hi ka dengue infection dikhata hai.,diagnosis;serology,WHO,general
104,What does IgG show in dengue?,IgG dengue me kya batata hai?,IgG shows past exposure; high levels with symptoms can support diagnosis.,IgG guzishta dengue infection ka asar dikhata hai.,diagnosis;serology,WHO,general
105,Why does fever drop before complications?,Bukhar complications se pehle kyun girta hai?,The critical phase usually starts as fever falls between days 3–7.,Critical phase aam tor par din 3–7 me bukhar girne ke sath shuru hoti hai.,timeline;warning_signs,WHO,urgent-care
106,What is plasma leakage?,Plasma leakage kya hota hai?,"Leaky blood vessels cause fluids to move out of circulation, leading to complications.",Ragoon ke leak hone se maye jism ke bahar nikal jata hai aur halat bigar sakti hai.,severe_dengue;complications,WHO,urgent-care
107,What is dengue shock?,Dengue shock kya hota hai?,Dangerously low blood pressure caused by severe plasma leakage; this is a medical emergency.,Shadeed plasma leakage se blood pressure bohat kam ho jata hai—ye emergency hai.,severe_dengue;shock,WHO,emergency
108,What is hemoconcentration in dengue?,Dengue me hemoconcentration kya hai?,A rising hematocrit indicates plasma leakage and requires close monitoring.,Hematocrit ka barhna plasma leakage ki nishani hoti hai.,labs;monitoring,WHO,urgent-care
109,How often should CBC be checked?,CBC kitni dafa check karna chahiye?,"During days 3–7, CBC may need checking daily or more often based on symptoms.",Din 3–7 me CBC ko rozana ya zarurat ke mutabiq bar bar check karna parta hai.,labs;monitoring,WHO,general
110,Do low platelets always need transfusion?,Kya kam platelets me transfusion zaruri hota hai?,"No. Transfusion depends on bleeding, not just platelet numbers.","Nahi. Transfusion bleeding ki surat me hota hai, sirf number par nahi.",labs;platelets,WHO,urgent-care
111,Which painkiller is safe in dengue?,Dengue me kaunsi dard ki dawa sahi hai?,"Use only paracetamol. Avoid ibuprofen, aspirin, and NSAIDs due to bleeding risk.","Sirf paracetamol istemal karein. Ibuprofen, aspirin se parhez karein.",medications;safe,WHO,general
112,How much water should adults drink?,Baron ko kitna pani peena chahiye?,"Drink frequent small amounts of water, ORS, soups, or juices to prevent dehydration.","Choti choti matra me pani, ORS, yakhni ya juice pite rahain.",hydration;home_care,WHO,general
113,Is severe abdominal pain dangerous?,Shadeed pait ka dard khatarnak hai?,Yes. Severe abdominal pain is a warning sign and needs urgent medical care.,Haan. Shadeed pait ka dard khatwarning alamat hai aur foran muaina zaruri hai.,warning_signs;abdomen,WHO,urgent-care
114,Is gum or nose bleeding serious?,Naak ya masoodon se khoon nikalna khatarnak hai?,Yes. It can indicate severe dengue and needs urgent evaluation.,"Haan, ye severe dengue ki nishani ho sakta hai—jaldi muaina zaruri hai.",warning_signs;bleeding,WHO,urgent-care
115,What is the role of ORS?,ORS dengue me kitna faida deta hai?,ORS replaces fluids and electrolytes and helps prevent dehydration.,ORS maye aur namak ki kami ko poora karta hai aur dehydration rokta hai.,hydration;home_care,WHO,general
116,Can dengue affect the liver?,Kya dengue jigar ko mutasir karta hai?,Yes. Mild liver inflammation is common; severe cases need hospital care.,"Haan, jigar ke enzymes barh sakte hain; shadeed soorat me hospital darkar hota hai.",complications;liver,WHO,urgent-care
117,Is vomiting a warning sign?,Kya bar bar ulti khatwarning alamat hai?,Yes. Persistent vomiting is dangerous and needs urgent care.,"Haan, lagatar ulti khatwarning alamat hai aur foran madad ki zarurat hoti hai.",warning_signs;vomiting,WHO,urgent-care
118,Does dengue always require hospitalization?,Kya dengue me hamesha hospital jana hota hai?,No. Only patients with warning signs or severe disease require admission.,Nahi. Sirf un logon ko admission chahiye jinke paas khatwarning alamat ya severe dengue ho.,triage;care,WHO,general
119,What is capillary refill?,Capillary refill kya hai?,A quick test of circulation; slow refill may indicate shock.,Yeh dola shariyan ka test hai; dheema refill shock ki nishani ho sakta hai.,assessment;shock,WHO,urgent-care
120,Can dengue cause low blood pressure?,Kya dengue me blood pressure gir jata hai?,Yes. Low BP is a sign of severe dengue and requires emergency care.,"Haan, kam BP severe dengue ki nishani hai—ye emergency hai.",severe_dengue;shock,WHO,emergency
121,How to monitor urine output?,Peshab ki nigrani kaise karen?,Dark or very low urine means dehydration—increase fluids and seek care if not improving.,Ghanay rang ya bohat kam peshab ka matlab dehydration—maye barhayen aur zarurat par madad lein.,hydration;monitoring,WHO,general
122,Is acetaminophen same as paracetamol?,Acetaminophen paracetamol hi hota hai?,"Yes, they are the same medicine used for fever control.","Haan, yeh aik hi dawai hai jo bukhar ke liye di jati hai.",medications;safe,WHO,general
123,Are herbal teas helpful?,Kya herbal chai dengue me faidemand hai?,Mild teas are safe but not a treatment. Avoid anything that upsets the stomach.,Halki herbal chai theek hai magar ilaj nahi. Agar pait kharab kare to parhez karein.,myths;nutrition,Education material,general
124,Can dengue occur without fever?,Kya dengue bina bukhar ke hosakta hai?,Rare but possible. Testing and clinical evaluation are important.,Kam hota hai magar hosakta hai; test aur muaina zaruri hota hai.,diagnosis;atypical,WHO,general
125,Do repellents work?,Kya repellent asar karta hai?,"Yes. Use DEET, picaridin, IR3535, or lemon eucalyptus repellent.","Haan. DEET, picaridin ya lemon eucalyptus repellent istemal karein.",prevention;mosquito_control,WHO,general
126,Which clothing prevents mosquito bites?,Kaat se bachne ke liye kapray kaisay hon?,Wear long sleeves and pants; light-colored clothing helps.,Lambay baazu aur pajama pehnen; halka rang behtar hota hai.,prevention;mosquito_control,WHO,general
127,How often to remove standing water?,Ruka pani kitni dafa saaf karna chahiye?,"Once a week—empty, scrub, and cover all containers.","Hafte me aik dafa ruka pani khali, saaf aur dhak dein.",mosquito_control;breeding,WHO,general
